"nama","id","alamat","kecamatan","kelurahan","jenis","latitude","longitude"
"DLH Surabaya","1","Jl. Raya Menur","Kec. Mulyorejo","Kel. Manyar Sabrangan","DLH","-7.2781506343223","112.76315588466"
"TPS Bogen","2","Jl. Bogen Tambaksari","Kec. Tambaksari","Kel. Ploso","TPS","-7.2511866254967","112.7575380086"
"TPS Gubeng Masjid","3","Jl. Gubeng Masjid","Kec. Tambaksari","Kel. Pacar Keling","TPS","-7.2662371745761","112.75330182394"
"TPS Gubeng Masjid Pasar","4","Jl. Gubeng Masjid","Kec. Tambaksari","Kel. Pacar Keling","TPS","-7.2674924256658","112.75278123526"
"TPS Candi Puro","5","Jl. Candipuro","Kec. Tambaksari","Kel. Pacar Keling","TPS","-7.257932818758","112.75859177111"
"TPS Pasar Pacar Keling","6","Jl. Pacar Keling","Kec. Tambaksari","Kel. Pacar Keling","TPS","-7.2606094550756","112.75865935852"
"TPS PETOJO","7","JL. PETOJO","Kec. Tambaksari","Kel. Pacar Keling","TPS","-7.263579116239","112.75603330675"
"TPS Kaliwaron","8","Jl. Kaliwaron","Kec. Gubeng","Kel. Mojo","TPS","-7.2631695459289","112.76939025093"
"TPS Mojoarum","9","Jl. Mojoarum","Kec. Gubeng","Kel. Mojo","TPS","-7.2637982808715","112.77477423898"
"TPS Srikana","10","Jl. Srikana","Kec. Gubeng","Kel. Airlangga","TPS","-7.2737623501341","112.75822078161"
"TPS Kangean","11","Jl. Kangean","Kec. Gubeng","Kel. Gubeng","TPS","-7.2722747132888","112.74529467914"
"TPS Pasar Pucang","12","Jl. Pasar Pucang Anom","Kec. Gubeng","Kel. Gubeng","TPS","-7.2842522095422","112.75210319008"
"TPS Kalibokor","13","Jl. Kalibokor","Kec. Gubeng","Kel. Pucang Sewu","TPS","-7.2837133224667","112.74951125674"
"TPS Bratang","14","Jl. Bratang Binangun","Kec. Gubeng","Kel. Barata Jaya","TPS","-7.2938905026459","112.75770377677"
"TPS Bratang Lapangan","15","Jl. Bratang Lapangan","Kec. Gubeng","Kel. Ngagel Rejo","TPS","-7.3017650717814","112.74812853208"
"TPS BARATA JAYA","16","JL. BARATAJAYA","Kec. Gubeng","Kel. Baratajaya","TPS","-7.3039190107903","112.75535217047"
"TPS Buktong","17","Jl. Menur - Manyar","Kec. Sukolilo","Kel. Menur Pumpungan","TPS","-7.2877398134074","112.76338551247"
"TPS ITS","18","Jl. Arif Rahman Hakim","Kec. Sukolilo","Kel. Keputih","TPS","-7.2893800192817","112.78936621317"
"TPS IPLT Keputih","19","Jl. Keputih Tegal","Kec. Sukolilo","Kel. Keputih","TPS","-7.2949420528919","112.80757595203"
